1;2;3;ms+-;5;6;7;8;9
funeral ornament;N;;ms+-;;;Jewelry or other personal ornament that is worn by the deceased or by attendees at funerary rites, and is specifically designed for this purpose.;;
unguentarium;N;;ms+-;balsam bottles | balsam bottle | balsamaria | balsamarium;;"Containers probably used to hold ointments and perfume. Early ceramic examples found at Petra (probably 4th-century BCE) were in the typical Hellenistic form of the spindle bottle, but this form was later completely replaced by a series of high-necked types with round to ovoid bodies of varying and apparently standardized forms (from the 1st century BCE onwards). The number of unguentaria found at Petra suggests that they were made locally; their manufacture would have been linked to the myrrh and other unguents that the Nabataeans traded. They have also been found at western sites. Pear-shaped glass unguentaria were later made at various locations in the Arabian peninsula.";;
unguentarium;N;;ms+-;balsam bottles | balsam bottle | balsamaria | balsamarium;;"Containers probably used to hold ointments and perfume. Early ceramic examples found at Petra (probably 4th-century BCE) were in the typical Hellenistic form of the spindle bottle, but this form was later completely replaced by a series of high-necked types with round to ovoid bodies of varying and apparently standardized forms (from the 1st century BCE onwards). The number of unguentaria found at Petra suggests that they were made locally; their manufacture would have been linked to the myrrh and other unguents that the Nabataeans traded. They have also been found at western sites. Pear-shaped glass unguentaria were later made at various locations in the Arabian peninsula.";;
unguentarium;N;;ms+-;balsam bottles | balsam bottle | balsamaria | balsamarium;;"Containers probably used to hold ointments and perfume. Early ceramic examples found at Petra (probably 4th-century BCE) were in the typical Hellenistic form of the spindle bottle, but this form was later completely replaced by a series of high-necked types with round to ovoid bodies of varying and apparently standardized forms (from the 1st century BCE onwards). The number of unguentaria found at Petra suggests that they were made locally; their manufacture would have been linked to the myrrh and other unguents that the Nabataeans traded. They have also been found at western sites. Pear-shaped glass unguentaria were later made at various locations in the Arabian peninsula.";;
cartridge belt;N;;ms+-;cartridge-belts;;Belts having loops or pockets used to carry ammunition and sometimes other equipment.;;
nestoride;N;;ms+-;nestoris;;"The nestoride is a vessel type of native southern Italian origin. The name ""nestoride"" was devised by 19th-century scholars attempting to identify a vase with the cup of nestor. Nestorides are a continuation of a previous vessel type known as the trozzella which was named after the disks attached to the vessel's horizontal handles. The nestoride is a distinct form because of its tall side handles. Images of nestorides on southern Italian red-figure vases suggest that nestorides were used primarily as storage vessels like stamnoi or amphorae but there were also smaller nestorides that were similar in function to kantharoi in that they served as drinking vessels. Nestorides were most commonly made in Lucania and Apulia.";;
necklace;N;;ms+-;necklets;;"Ornaments worn around the neck, usually in the form of chains or strands of beads, pearls, stones, or decorative or precious materials, and often including a suspended ornamental pendant. Use ""chokers"" for short, narrow necklaces worn close to the throat. Use ""dog collars (necklaces)"" for wide ornamental bands worn tightly around the neck.";;
left-hand dagger;N;;ms+-;main-gauches | mains gauches | parrying daggers;;Daggers designed to be held in the left hand to parry an opponent's weapon during swordplay. Typically they were made in sets as matching companion pieces to rapiers.;;
grave pillar;N;;ms+-;;;"Sepulchral monuments in the form of freestanding pillars; distinguished by being taller and generally having less breadth than a tombstone or a stele, but often having more depth. Grave pillars were common in several ancient cultures and continue in modern usage.";;
coal hod;N;;ms+-;coal scuttles | coal vases | scuttles;;Small pails, generally made of metal, for holding or carrying coal, typically having a bail handle and one scooplike lip.;;
baking pan;N;;ms+-;baker sheets | bakers' sheets;;Pans intended primarily for baking.;;
baking pan;N;;ms+-;baker sheets | bakers' sheets;;Pans intended primarily for baking.;;
dog collar;N;;ms+-;colliers de chien;;"Wide, close-fitting necklaces worn tightly around the neck, often ornamented with precious or semiprecious stones. For short, narrow necklaces worn close to the throat use ""chokers.""";;
bulla;N;;ms+-;;;"Small pendants, usually of gold but sometimes of leather, designed as containers for amulets; use especially for those of Etruscan origin.";;
bulla;N;;ms+-;;;"Small pendants, usually of gold but sometimes of leather, designed as containers for amulets; use especially for those of Etruscan origin.";;
bulla;N;;ms+-;;;"Small pendants, usually of gold but sometimes of leather, designed as containers for amulets; use especially for those of Etruscan origin.";;
tunic;N;;ms+-;;;"Simple slip-on garments made with or without sleeves and usually knee-length or longer and belted at the waist; especially those worn by men and women of ancient Greece and Rome. Also, garments extending from the neckline to the waist or longer, usually high-necked and worn over other garments.";;
